group_id,role,id,label,origin,center_x,center_y,window_size,median_r,median_g,median_b,linear_r,linear_g,linear_b,relative_luminance,note
"metric-value-black-on-paper","foregroundRaw11","metric-raw-2-top","大号数值 2.22 的 2 顶部笔画 11×11","top-left","1439","444","11","123","115","105","0.1981","0.1714","0.1413","0.1749","可读数值主体；11×11 混入抗锯齿和纸色。"
"metric-value-black-on-paper","foregroundRaw11","metric-raw-second-2","大号数值 2.22 的第二个 2 顶部笔画 11×11","top-left","1484","444","11","97","90","81","0.1195","0.1022","0.0823","0.1045","可读数值主体；11×11 中位数仍保留暗笔画。"
"metric-value-black-on-paper","foregroundRaw11","metric-raw-s","大号数值单位 s 笔画 11×11","top-left","1552","448","11","136","129","118","0.2462","0.2195","0.1812","0.2224","单位字母笔画边缘；比数字更受抗锯齿影响。"
"metric-value-black-on-paper","foregroundGlyphInterior","metric-glyph-2-left","大号数值 2.22 深色字形内部","top-left","1439","440","5","39","32","26","0.0203","0.0144","0.0103","0.0154","因 11×11 混入纸色，用 5×5 glyph interior 记录真实前景。"
"metric-value-black-on-paper","foregroundGlyphInterior","metric-glyph-2-mid","大号数值 2.22 第二个 2 深色字形内部","top-left","1484","440","5","39","32","26","0.0203","0.0144","0.0103","0.0154","因 11×11 混入纸色，用 5×5 glyph interior 记录真实前景。"
"metric-value-black-on-paper","foregroundGlyphInterior","metric-glyph-2-right","大号数值 2.22 第三个 2 深色字形内部","top-left","1506","440","5","39","32","26","0.0203","0.0144","0.0103","0.0154","因 11×11 混入纸色，用 5×5 glyph interior 记录真实前景。"
"metric-value-black-on-paper","background11","metric-bg-above","大号数值上方纸色背景 11×11","top-left","1425","416","11","247","238","221","0.9301","0.8550","0.7231","0.8614","数值标签附近无字背景。"
"metric-value-black-on-paper","background11","metric-bg-between","大号数字间纸色背景 11×11","top-left","1458","453","11","247","238","221","0.9301","0.8550","0.7231","0.8614","数字内部间隙附近背景。"
"metric-value-black-on-paper","background11","metric-bg-right","大号数值右侧纸色背景 11×11","top-left","1610","443","11","247","238","221","0.9301","0.8550","0.7231","0.8614","数值右侧背景。"
"metric-value-black-on-paper","boundary11","metric-boundary-left-edge","大号数字左边缘邻近边界 11×11","top-left","1431","444","11","247","238","221","0.9301","0.8550","0.7231","0.8614","文字边缘邻近区域；中位数可能被背景主导。"
"metric-value-black-on-paper","boundary11","metric-boundary-aa","大号数字抗锯齿邻近边界 11×11","top-left","1448","442","11","247","238","221","0.9301","0.8550","0.7231","0.8614","抗锯齿边缘邻近区域。"
"metric-value-black-on-paper","boundary11","metric-boundary-s-edge","单位 s 边缘邻近边界 11×11","top-left","1552","448","11","136","129","118","0.2462","0.2195","0.1812","0.2224","单位字母边缘区域。"
"orange-heading-on-paper","foregroundRaw11","orange-raw-left","橙色小标题适用范围左侧 11×11","top-left","1450","990","11","247","238","221","0.9301","0.8550","0.7231","0.8614","橙色标题笔画附近；11×11 被纸色明显稀释。"
"orange-heading-on-paper","foregroundRaw11","orange-raw-scope","橙色小标题范围字 11×11","top-left","1510","991","11","181","90","71","0.4621","0.1022","0.0630","0.1759","橙色标题较实笔画区域。"
